"gene","tau","log_fc_est","sd_est","Z_est","p_cross","ct_prop","expr","q_val","p","cell_type"
"DPYSL3",0.137563994910901,-0.506191149579393,0.130692603239118,-3.87314306268162,0.0197769539852702,0.79090863790903,0.000700223813675208,0.0135927024815467,0.000107440716047261,"ExDp1_SP"
"YWHAQ",0.121164583922977,-0.503071720688298,0.16166815490127,-3.11175519381366,0.157716848151176,0.81555517112187,0.000332788597265781,0.0906839663467416,0.00185978653477616,"ExDp1_SP"
"TBR1",0.0844131941017349,-0.491919587676837,0.081641219317169,-6.0253826656578,0.0331667359803637,1,0.000310435927207179,3.94865696798702e-06,1.68709975132964e-09,"ExDp1_SP"
"PCNX1",0.0446583944085869,0.489668579875347,0.11315233707669,4.32751627165658,0.428123054512746,1,7.06311162873632e-05,0.00371524091181275,1.50800207913784e-05,"ExDp1_SP"
"RIMKLB",0,0.484008336601103,0.124759090936328,3.879543630597,0.488273950021391,0.753745428247413,0.000175692780234494,0.0135927024815467,0.000104652628982289,"ExDp1_SP"
"AGPS",0.00175410001092719,0.478185420526699,0.153388080998498,3.11748746978183,0.112415870332108,0.730702356873143,3.3124083564095e-05,0.089875052273089,0.00182399700191059,"ExDp1_SP"
"VPS26B",0.0748221578093712,-0.476411486087262,0.14006483168493,-3.40136407088205,0.500513894596664,0.57963664082813,2.81769074533674e-05,0.0461563566712265,0.000670504647221406,"ExDp1_SP"
"PDE4D",0,-0.472253432420695,0.131389305148217,-3.59430649159729,0.543435097415583,0.553792906452875,0.000101973199099724,0.028726924074519,0.000325256777600835,"ExDp1_SP"
"C1orf216",0,-0.4681686912353,0.147583035956295,-3.17223919539062,0.435441785376321,0.833271386296749,5.84814571743581e-05,0.0774473896162364,0.00151268359694626,"ExDp1_SP"
"GPM6A",0.132360498712818,-0.467878131570652,0.123592143944742,-3.78566239436577,0.00708599177230895,0.730662701553581,0.00168764027813685,0.0178408516174291,0.000153299683190382,"ExDp1_SP"
"BDP1",0.103551583773418,0.465157223728162,0.130757656452709,3.55739951561763,0.176513416221279,0.882362206140744,0.000676348244624393,0.0315559494269952,0.000374544301286046,"ExDp1_SP"
"JPH4",0.0228998335782996,0.456574459913348,0.126191405243561,3.61811059185938,0.185572933602247,1,0.000148245312309381,0.028726924074519,0.00029676159179372,"ExDp1_SP"
"FAM117B",0.052224355652219,-0.45314739068092,0.147275769971311,-3.07686315793284,0.417789810455084,0.92444450266156,8.36107747034597e-05,0.096002404536341,0.00209191310888844,"ExDp1_SP"
"PRICKLE2",0.0354131444755288,-0.452397032239165,0.0895348277974468,-5.05274923030639,0.560092027144911,1,5.81946776996205e-05,0.000332935669436217,4.35495522972468e-07,"ExDp1_SP"
"PLPPR3",0.0537826500841403,-0.450989111437055,0.0946768487095341,-4.76345714484728,0.231181153748343,0.847615681010276,2.26447271981684e-05,0.000989792466089635,1.90304041760451e-06,"ExDp1_SP"
"KCTD7",0,-0.449494916589053,0.14645484322945,-3.06917071963835,0.491917083629325,0.83739947542264,7.95878191140798e-05,0.0975528985976068,0.00214653889244894,"ExDp1_SP"
"CCNG2",0.0895496774658772,-0.449208070874929,0.133415269173535,-3.36699145201018,0.255699027605118,0.657618908376444,0.000124778541608421,0.0501018926979077,0.000759930438272046,"ExDp1_SP"
"CYTH1",0,0.44826890963221,0.126943282655685,3.53125348781215,0.492058785321047,0.651385782360132,0.000118620859535275,0.0333799832690488,0.000413595178296268,"ExDp1_SP"
"MMD",0,-0.429281081796188,0.138453409769921,-3.10054539291995,0.159093287088397,0.645241976791534,4.03019237720846e-05,0.0913336878848838,0.00193164603730047,"ExDp1_SP"
"USF1",0,-0.426191099612978,0.090885548382426,-4.68931647768314,0.632610070471614,0.609815797549287,2.95232693060124e-05,0.00108195530770984,2.741191550039e-06,"ExDp1_SP"
"ATP6AP1",0,-0.426124085316325,0.138309417156216,-3.08094773355188,0.605061832232281,0.765515062184647,9.06464134916719e-05,0.0956327678968594,0.00206342866002623,"ExDp1_SP"
"C11orf49",0.000430490553774005,-0.422026890098756,0.118832623995086,-3.55143962920662,0.38951027154023,0.830684145173998,5.37953627436121e-05,0.0315559494269952,0.000383129874990564,"ExDp1_SP"
