"gene","tau","log_fc_est","sd_est","Z_est","p_cross","ct_prop","expr","q_val","p","cell_type","cell_type_long"
"TUBA1A",0.197612290889283,-0.551316473964076,0.142472308646206,-3.86963950540825,1.01492649089837e-72,0.89217475502307,0.00700351441034545,0.0101162282839701,0.000108996399019206,"ExM-U","Maturing upper layer excit. (ExM-U)"
"GART",0.169220535391944,0.529673347225035,0.135888030999251,3.89786608379036,1.2895989323793e-07,0.767439534854472,7.08948405684585e-05,0.00960736128513635,9.70440533852157e-05,"ExM-U","Maturing upper layer excit. (ExM-U)"
"BDP1",0.202104228388171,0.515317693833944,0.158118826279362,3.25905337118736,3.54890435368382e-05,1,0.000766519961890242,0.0582964908274003,0.00111784636371295,"ExM-U","Maturing upper layer excit. (ExM-U)"
"FAM193B",0.194275293932049,0.492409259097386,0.158218749671007,3.11220547578134,1.32321715392591e-08,0.853983832978002,3.65306325821069e-05,0.0811051101451158,0.00185695201679053,"ExM-U","Maturing upper layer excit. (ExM-U)"
"MRNIP",0.141542638459702,0.491849931741247,0.130183580266305,3.77812571090082,1.34176272867179e-05,0.841031247679234,4.02345114660288e-05,0.0123499724310022,0.000158013115278816,"ExM-U","Maturing upper layer excit. (ExM-U)"
"VARS2",0.140930012470658,0.47784777782439,0.146632779186653,3.25880598100185,0.000308289071633455,0.769122377286391,1.82503324629595e-05,0.0582964908274003,0.00111882154113193,"ExM-U","Maturing upper layer excit. (ExM-U)"
"TSC2",0.0028207463295158,0.463417924688756,0.0583237426991831,7.94561362563666,0.591331848408612,1,2.10744194942839e-05,1.4347464004638e-12,1.93231838446304e-15,"ExM-U","Maturing upper layer excit. (ExM-U)"
"NFX1",0.121846666843273,0.456059297296161,0.120261533165202,3.79222919659337,0.0127692738064969,0.562523346055543,6.0101929994157e-05,0.0119844333260421,0.000149301021233522,"ExM-U","Maturing upper layer excit. (ExM-U)"
"CHPF",0,-0.452797242947774,0.111601469197009,-4.05726955214592,0.419994177076376,0.613070778842905,1.04773621220041e-05,0.0058983923721485,4.96497674423274e-05,"ExM-U","Maturing upper layer excit. (ExM-U)"
"SCAF4",0.146798003904474,0.448858470685153,0.137214070503368,3.27122771767154,0.000757973610614421,0.624248969608677,3.62027343369297e-05,0.0578240899999328,0.00107081648148024,"ExM-U","Maturing upper layer excit. (ExM-U)"
"EYA3",0.113500422154862,0.445030674667748,0.137653240597885,3.23298363870546,0.126014104545765,1,1.86241200834231e-05,0.0616675590567135,0.00122504578597512,"ExM-U","Maturing upper layer excit. (ExM-U)"
"CCDC43",0,0.440137116974977,0.143696929355837,3.06295422559144,0.66800344649209,0.678532211648636,7.23054810539631e-05,0.0929879767065947,0.00219163581463355,"ExM-U","Maturing upper layer excit. (ExM-U)"
"SYBU",0,0.437555410543037,0.0461529520048866,9.48055089730141,0.522133031072458,1,0.000203891553128787,2.5041467122569e-18,2.52944112349182e-21,"ExM-U","Maturing upper layer excit. (ExM-U)"
"PNISR",0.170894015029047,0.43496116553289,0.137438940887741,3.16475929400652,9.53486749043508e-08,0.584016221867923,0.000592663444899074,0.0709196230875971,0.00155211296319657,"ExM-U","Maturing upper layer excit. (ExM-U)"
"EPS15L1",0.0936118638870685,0.421542897324859,0.0946997024251059,4.45136454001257,0.0546840885327598,0.74529282360252,4.64469841852609e-05,0.00158387038232116,8.53263505627562e-06,"ExM-U","Maturing upper layer excit. (ExM-U)"
"ITPR1",0.0756888586363929,0.421167423649881,0.0840293620352942,5.01214591481703,0.000436336467746131,1,5.7974194347492e-05,0.00015986429432056,5.38263617240944e-07,"ExM-U","Maturing upper layer excit. (ExM-U)"
"GGT7",0.101526744427099,0.420857165668148,0.0989629595440215,4.25267360239908,0.0190603684116666,0.639321238629238,3.85750823210576e-05,0.00326226868191295,2.112333472861e-05,"ExM-U","Maturing upper layer excit. (ExM-U)"
"SMDT1",0.107319751234103,-0.415196615132439,0.105122621605545,-3.94964098869599,0.00146611158295614,0.80982542264829,0.000127837856732402,0.00803448911443816,7.82684981405549e-05,"ExM-U","Maturing upper layer excit. (ExM-U)"
"FAM118A",0.111847641426057,1.03992932555849,0.263424207908947,3.94773636718285,0.0721031430282366,0.929050626417929,2.78258304472437e-05,0.00525080816700359,7.88936118581507e-05,"ExN","Newly born excit. (ExN)"
"FTH1",0.303913238506549,-0.956221315441982,0.216109760030669,-4.4247021296321,5.55870420968855e-156,0.641770705389116,0.00157924999133023,0.000903885792047121,9.65754435576223e-06,"ExN","Newly born excit. (ExN)"
"UBE2D1",0.141736503642916,-0.928378470199643,0.327310083960151,-2.83638823151159,0.124039787004209,1,0.000112809140559726,0.0919246381349817,0.00456269452308899,"ExN","Newly born excit. (ExN)"
"PFDN5",0.349852745096515,-0.866872733645642,0.258389931182801,-3.35490136816655,1.05707609490816e-29,0.885215405640702,0.000373070007077949,0.0272322516039709,0.00079393286327308,"ExN","Newly born excit. (ExN)"
"PAXBP1",0.136902512166347,0.829872128702213,0.131389150822243,6.31613891640832,0.0332213565201901,0.826035899553464,0.000239905339112542,2.00799028605712e-07,2.68179003146193e-10,"ExN","Newly born excit. (ExN)"
"PCNT",0.106079400387427,0.775787031142086,0.183188810247676,4.23490403203778,0.206362249612348,0.550648232253775,0.000141625443341986,0.00185082365403256,2.28649332885491e-05,"ExN","Newly born excit. (ExN)"
"SCAF4",0.152936767284768,0.731645339373012,0.156550319239728,4.67354741227088,0.035473877473109,0.705810580797176,4.09328235892999e-05,0.000408565755823153,2.96041324184971e-06,"ExN","Newly born excit. (ExN)"
"USP16",0.107763881824655,0.71704870556751,0.156102539925256,4.59344675564436,0.117832199239824,0.657365472150114,0.000157362668953404,0.000522309188146911,4.35984297284566e-06,"ExN","Newly born excit. (ExN)"
