"cell_type","gene","avg_logFC","logCPM","F","p_val","p_val_adj"
"MGE","ENSG00000164330",1.53266664911268,6.22442474734546,19.4619741173564,1.02820038953016e-05,0.00844152519804261
"MGE","ENSG00000164867",-1.95103596959276,5.22672554269848,21.6925906232632,3.2078346417664e-06,0.00526726448178043
"MGE","ENSG00000166897",1.41514938476155,4.89796610489536,15.2181140633998,9.58958257722097e-05,0.0455808001341487
"MGE","ENSG00000167178",1.57372798701567,6.33026422987347,20.7026372012471,5.37583129461951e-06,0.00553998040354683
"MGE","ENSG00000171847",1.41952037334534,5.10870067806313,15.7378830803369,7.28459710529146e-05,0.0398710281562952
"MGE","ENSG00000172995",1.63481928793046,6.52864393094893,23.7077656846652,1.1244444086876e-06,0.00203097149097154
"MGE","ENSG00000174469",1.99849930239691,5.97471376971109,32.2748532316592,1.34518268169403e-08,4.04944826612627e-05
"MGE","ENSG00000184787",-1.26550350399459,6.80948598203213,16.4789142220425,4.92631475438758e-05,0.0317782489620531
"MGE","ENSG00000186732",1.40133694324453,5.41862109339731,16.0863608038504,6.05994258737758e-05,0.035307962262327
"MGE","ENSG00000188536",1.9294595171767,10.088118747925,20.6767885790736,5.44886647365974e-06,0.00553998040354683
"MGE","ENSG00000196090",1.96580663391359,5.44656892844853,31.5580541801024,1.9451287456102e-08,5.01898791474448e-05
"MGE","ENSG00000223569",1.56677834092234,5.81038206212444,21.1069366320168,4.35329758810874e-06,0.00553998040354683
"MGE","ENSG00000244734",2.95037233389194,6.33694432372245,47.8328414199897,4.69279346665145e-12,2.82537451982195e-08
"MGE","ENSG00000273079",1.6579088075719,4.93780683818847,19.756330335603,8.81441323448655e-06,0.00758123484958553
"MGE","ENSG00000284042",1.55770738832856,5.8099415336786,20.18078018396,7.06026999465981e-06,0.00671171561281818
"SP","ENSG00000064270",-1.1310970043253,5.26226125296475,19.8770676834461,2.94927054312857e-05,0.0492678638170027
"SP","ENSG00000087086",1.39520386447678,8.03215299557997,25.5773560568091,3.08317254069348e-06,0.0185658373158759
"SP","ENSG00000104899",-1.63322566018304,5.05751125218124,39.314006737026,2.31635994301487e-08,0.000418450423705636
"SP","ENSG00000115756",1.25566490058954,5.67152020953499,26.6585397130192,2.04318620545684e-06,0.0184550794007889
"SP","ENSG00000139631",-1.15244368646781,7.19697769376338,21.4468383368349,1.55885578869882e-05,0.0402296140326345
"SP","ENSG00000160299",-1.11036579593746,6.26570650545,22.5622932555259,9.98386555429016e-06,0.0360717062476503
"SP","ENSG00000173660",1.25762121793093,6.49579384719828,22.7300325014596,9.34171273361407e-06,0.0360717062476503
"SP","ENSG00000198642",1.14395870581001,5.36503317306004,19.8355221437835,2.9999806365183e-05,0.0492678638170027
"SP","ENSG00000198963",1.19624380283727,5.88265622956503,21.6580384522186,1.43206791665236e-05,0.0402296140326345
"SP","ENSG00000240891",1.18548970651928,5.93296482775833,20.426102069379,2.35634898141038e-05,0.047297160387976
"SP","ENSG00000261150",-1.67093351076706,3.74367382405235,20.8698315877334,1.96768178002337e-05,0.0444327141951527
"VZ","ENSG00000109846",1.57165563424329,9.59223053702311,20.1612878622432,7.12889488398582e-06,0.0263842083099162
"VZ","ENSG00000120738",2.62195853719802,6.59986373378978,64.5958316302176,9.33282213717864e-16,1.68485438042486e-11
"VZ","ENSG00000122585",-1.39530761225243,6.23235142969618,18.3550148250153,1.83572605445515e-05,0.0320232234873489
"VZ","ENSG00000128016",1.61082721106626,4.45405497905029,19.9728222191515,7.86699641058767e-06,0.0263842083099162
"VZ","ENSG00000130518",-1.8080429127289,4.45004476348796,18.4926008306252,1.7078866880305e-05,0.0320232234873489
"VZ","ENSG00000154529",2.80546744321381,3.65054727862661,18.6916143996418,1.53862225937517e-05,0.0320232234873489
"VZ","ENSG00000168209",1.3488226382171,8.17918675354019,18.8469692268834,1.4182838463625e-05,0.0320232234873489
"VZ","ENSG00000170345",1.96058232127287,7.48949399719156,40.0892117585713,2.44045460573629e-10,2.20287634986786e-06
"VZ","ENSG00000171223",1.86692836192867,5.19767859453225,31.2309049831161,2.29913527053415e-08,0.00013835429679651
"VZ","ENSG00000179010",1.32052054608536,5.42060148508765,17.1660787519358,3.42887441865749e-05,0.0476165152923258
"VZ","ENSG00000184113",1.34124119926624,6.52170789948651,19.765279235014,8.7689165157867e-06,0.0263842083099162
"VZ","ENSG00000197921",1.27491894691983,8.08561404322049,17.4616797304725,2.93501951684161e-05,0.0441549227812846
"VZ","ENSG00000215252",-1.33320972144847,5.69953188149355,18.238742872992,1.95122948186361e-05,0.0320232234873489
"caudate_nucleus","ENSG00000104899",-1.78189953833842,5.62728747854786,28.4791350196332,9.58558274743478e-08,0.000708621586373722
"caudate_nucleus","ENSG00000134184",9.1243649129735,1.9470137393297,26.7394330552198,2.3530519222106e-07,0.000708621586373722
"caudate_nucleus","ENSG00000144820",2.88793964725468,3.64661240783832,26.9646962882913,2.09452455542817e-07,0.000708621586373722
"caudate_nucleus","ENSG00000161328",-1.51727477450085,5.02331267834907,20.5426914822471,5.86899982978432e-06,0.0151495654177675
"caudate_nucleus","ENSG00000173660",1.57657022755723,6.63187749157125,18.5186491537429,1.69134610815739e-05,0.03395659203144
"caudate_nucleus","ENSG00000197238",1.78959042271744,4.77466966738608,27.1040110312642,1.94909093842232e-07,0.000708621586373722
"caudate_nucleus","ENSG00000213934",-2.92728568146837,4.5991712817572,45.5978856773785,1.49615257972053e-11,2.70339809629702e-07
"caudate_nucleus","ENSG00000223569",1.39194526402251,5.61816690699251,18.1764341757835,2.02376691542066e-05,0.0365674443947358
"caudate_nucleus","ENSG00000225327",1.69022409974029,4.40307855250388,19.7324681018915,8.96039110024264e-06,0.0202381633487855
"caudate_nucleus","ENSG00000276410",2.00491791494649,4.39887142110698,27.8503067951979,1.32586672048152e-07,0.000708621586373722
"iSVZ","ENSG00000120738",2.11438856346762,5.09313632445646,41.3500541317975,1.28059474282912e-10,2.3119857487037e-06
"iSVZ","ENSG00000128016",1.70466030970677,4.28676600008666,20.3459751259564,6.47305085953465e-06,0.0194774100363398
"iSVZ","ENSG00000170345",1.71827320479885,6.17126748654377,35.0948935239502,3.15440269674659e-09,1.8983195429021e-05
"iSVZ","ENSG00000171223",1.92767770617247,5.27257564555578,37.4903851328402,9.23363405506501e-10,8.33520146150718e-06
"iSVZ","ENSG00000180573",2.27246679342927,3.88767963982497,24.6074611601937,7.04383546986409e-07,0.00254338811145852
"iSVZ","ENSG00000204389",1.55862610734837,7.40137603699279,28.8221199827924,7.95838775381275e-08,0.000359201831268338
"oSVZ","ENSG00000087086",1.27605172101084,8.64611644708718,27.3403131513885,9.78724586145041e-06,0.0294775533270451
"oSVZ","ENSG00000104899",-1.52394803060935,4.15411518318317,36.3560483670763,9.37675542636742e-07,0.00722339942884129
"oSVZ","ENSG00000134184",9.41188509103352,2.07971494164911,36.9432847438464,1.19916984597e-06,0.00722339942884129
"oSVZ","ENSG00000173660",1.28205484484533,6.54395319738534,29.3131228438612,5.68235674226417e-06,0.0205371737378912
"oSVZ","ENSG00000204389",1.27017021669578,7.28506559849544,29.4973926523243,5.40607671056898e-06,0.0205371737378912
"oSVZ","ENSG00000244734",1.55705688800607,4.83826399613812,35.5389439275802,1.14398076761575e-06,0.00722339942884129
"putamen","ENSG00000104899",-1.86371324202783,4.94166275371548,24.3310774858523,8.18406973948757e-07,0.00295657703408728
"putamen","ENSG00000132170",1.85810644168752,6.01044945265294,19.4045449367254,1.06363311413528e-05,0.0320206749010427
"putamen","ENSG00000134184",10.1916951659867,2.6510017900144,80.010684723368,4.07679870208895e-19,7.36392149558327e-15
"putamen","ENSG00000144820",2.99885687026569,3.67594300138073,35.1004271931295,3.18816107536714e-09,1.91959178347855e-05
"putamen","ENSG00000153234",-2.19788530737891,4.74926122977481,28.2158870636079,1.09795741219884e-07,0.00049581011841369
"putamen","ENSG00000213934",-3.68892858288991,4.62439314716586,74.730419347964,5.84016701370928e-18,5.27454683843153e-14
